X,T,P,Y
0.9355,78.4486,0.0782566,0.930213
0.9356,78.4488,0.0782562,0.930313
0.9357,78.449,0.0782558,0.930413
0.9358,78.4492,0.0782554,0.930513
0.9359,78.4494,0.078255,0.930612
0.936,78.4496,0.0782546,0.930712
0.9361,78.4498,0.0782542,0.930812
0.9362,78.45,0.0782537,0.930912
0.9363,78.4502,0.0782533,0.931012
0.9364,78.4504,0.0782529,0.931112
0.9365,78.4506,0.0782525,0.931213
0.9366,78.4509,0.0782521,0.931313
0.9367,78.4511,0.0782517,0.931413
0.9368,78.4513,0.0782512,0.931513
0.9369,78.4515,0.0782508,0.931613
0.937,78.4517,0.0782504,0.931713
0.9371,78.4519,0.07825,0.931813
0.9372,78.4521,0.0782496,0.931914
0.9373,78.4524,0.0782491,0.932014
0.9374,78.4526,0.0782487,0.932114
0.9375,78.4528,0.0782483,0.932215
0.9376,78.453,0.0782479,0.932315
0.9377,78.4532,0.0782474,0.932415
0.9378,78.4534,0.078247,0.932516
0.9379,78.4536,0.0782466,0.932616
0.938,78.4539,0.0782461,0.932716
0.9381,78.4541,0.0782457,0.932817
0.9382,78.4543,0.0782453,0.932917
0.9383,78.4545,0.0782448,0.933018
0.9384,78.4547,0.0782444,0.933118
0.9385,78.4549,0.078244,0.933219
0.9386,78.4552,0.0782435,0.93332
0.9387,78.4554,0.0782431,0.93342
0.9388,78.4556,0.0782427,0.933521
0.9389,78.4558,0.0782422,0.933621
0.939,78.456,0.0782418,0.933722
0.9391,78.4563,0.0782413,0.933823
0.9392,78.4565,0.0782409,0.933924
0.9393,78.4567,0.0782405,0.934024
0.9394,78.4569,0.07824,0.934125
0.9395,78.4571,0.0782396,0.934226
0.9396,78.4574,0.0782391,0.934327
0.9397,78.4576,0.0782387,0.934428
0.9398,78.4578,0.0782382,0.934528
0.9399,78.458,0.0782378,0.934629
0.94,78.4583,0.0782373,0.93473
0.9401,78.4585,0.0782369,0.934831
0.9402,78.4587,0.0782364,0.934932
0.9403,78.4589,0.078236,0.935033
0.9404,78.4591,0.0782355,0.935134
0.9405,78.4594,0.0782351,0.935235
0.9406,78.4596,0.0782346,0.935336
0.9407,78.4598,0.0782342,0.935437
0.9408,78.46,0.0782337,0.935539
0.9409,78.4603,0.0782333,0.93564
0.941,78.4605,0.0782328,0.935741
0.9411,78.4607,0.0782323,0.935842
0.9412,78.461,0.0782319,0.935943
0.9413,78.4612,0.0782314,0.936044
0.9414,78.4614,0.078231,0.936146
0.9415,78.4616,0.0782305,0.936247
0.9416,78.4619,0.07823,0.936348
0.9417,78.4621,0.0782296,0.93645
0.9418,78.4623,0.0782291,0.936551
0.9419,78.4626,0.0782286,0.936652
0.942,78.4628,0.0782282,0.936754
0.9421,78.463,0.0782277,0.936855
0.9422,78.4632,0.0782272,0.936957
0.9423,78.4635,0.0782268,0.937058
0.9424,78.4637,0.0782263,0.93716
0.9425,78.4639,0.0782258,0.937261
0.9426,78.4642,0.0782253,0.937363
0.9427,78.4644,0.0782249,0.937464
0.9428,78.4646,0.0782244,0.937566
0.9429,78.4649,0.0782239,0.937668
0.943,78.4651,0.0782234,0.937769
0.9431,78.4653,0.078223,0.937871
0.9432,78.4656,0.0782225,0.937973
0.9433,78.4658,0.078222,0.938075
0.9434,78.466,0.0782215,0.938176
0.9435,78.4663,0.0782211,0.938278
0.9436,78.4665,0.0782206,0.93838
0.9437,78.4667,0.0782201,0.938482
0.9438,78.467,0.0782196,0.938584
0.9439,78.4672,0.0782191,0.938686
0.944,78.4674,0.0782186,0.938787
0.9441,78.4677,0.0782181,0.938889
0.9442,78.4679,0.0782177,0.938991
0.9443,78.4682,0.0782172,0.939093
0.9444,78.4684,0.0782167,0.939195
0.9445,78.4686,0.0782162,0.939297
0.9446,78.4689,0.0782157,0.939399
0.9447,78.4691,0.0782152,0.939502
0.9448,78.4694,0.0782147,0.939604
0.9449,78.4696,0.0782142,0.939706
0.945,78.4698,0.0782137,0.939808
0.9451,78.4701,0.0782132,0.93991
0.9452,78.4703,0.0782127,0.940012
0.9453,78.4706,0.0782122,0.940115
0.9454,78.4708,0.0782117,0.940217
0.9455,78.471,0.0782112,0.940319
0.9456,78.4713,0.0782107,0.940421
0.9457,78.4715,0.0782102,0.940524
0.9458,78.4718,0.0782097,0.940626
0.9459,78.472,0.0782092,0.940728
0.946,78.4722,0.0782087,0.940831
0.9461,78.4725,0.0782082,0.940933
0.9462,78.4727,0.0782077,0.941036
0.9463,78.473,0.0782072,0.941138
0.9464,78.4732,0.0782067,0.941241
0.9465,78.4735,0.0782062,0.941343
0.9466,78.4737,0.0782057,0.941446
0.9467,78.474,0.0782051,0.941548
0.9468,78.4742,0.0782046,0.941651
0.9469,78.4745,0.0782041,0.941754
0.947,78.4747,0.0782036,0.941856
0.9471,78.4749,0.0782031,0.941959
0.9472,78.4752,0.0782026,0.942062
0.9473,78.4754,0.0782021,0.942165
0.9474,78.4757,0.0782015,0.942267
0.9475,78.4759,0.078201,0.94237
0.9476,78.4762,0.0782005,0.942473
0.9477,78.4764,0.0782,0.942576
0.9478,78.4767,0.0781995,0.942679
0.9479,78.4769,0.0781989,0.942782
0.948,78.4772,0.0781984,0.942884
0.9481,78.4774,0.0781979,0.942987
0.9482,78.4777,0.0781974,0.94309
0.9483,78.4779,0.0781968,0.943193
0.9484,78.4782,0.0781963,0.943296
0.9485,78.4784,0.0781958,0.943399
0.9486,78.4787,0.0781953,0.943502
0.9487,78.4789,0.0781947,0.943606
0.9488,78.4792,0.0781942,0.943709
0.9489,78.4794,0.0781937,0.943812
0.949,78.4797,0.0781931,0.943915
0.9491,78.48,0.0781926,0.944018
0.9492,78.4802,0.0781921,0.944121
0.9493,78.4805,0.0781915,0.944225
0.9494,78.4807,0.078191,0.944328
0.9495,78.481,0.0781904,0.944431
0.9496,78.4812,0.0781899,0.944534
